"['Parameters:', '[100, 20, [4, 5, 8], True, False, False, False]']","['Time stamp:', '2015-08-03 09:31:01.234775']"
eddy num tasks,eddy correct percentage,eddy 2 num tasks,eddy2 correct percentage,random num tasks,random correct percentage
171,0.9545454545454546,106,1.0,234,1.0
185,0.9545454545454546,116,1.0,227,0.9629629629629629
198,0.9545454545454546,112,1.0,239,0.9655172413793104
161,1.0,109,1.0,222,1.0
180,1.0,110,1.0,210,1.0
183,1.0,121,1.0,232,1.0
195,0.9545454545454546,114,1.0,203,1.0
186,1.0,124,1.0,209,1.0
182,1.0,117,1.0,216,1.0
170,0.9545454545454546,113,1.0,226,0.967741935483871
188,0.9545454545454546,111,1.0,237,1.0
193,0.9545454545454546,112,1.0,248,0.967741935483871
175,0.9545454545454546,109,1.0,203,0.9583333333333334
192,1.0,107,1.0,239,1.0
197,1.0,117,1.0,237,0.9655172413793104
178,1.0,106,1.0,233,0.9696969696969697
207,1.0,111,1.0,235,0.9655172413793104
200,1.0,109,1.0,242,1.0
193,1.0,118,1.0,229,1.0
163,0.9545454545454546,112,1.0,233,0.9642857142857143
189,1.0,124,1.0,216,0.9333333333333333
182,1.0,107,1.0,220,1.0
185,0.9565217391304348,116,1.0,224,1.0
193,1.0,114,1.0,212,0.9629629629629629
197,1.0,114,1.0,234,1.0
189,1.0,122,1.0,232,1.0
167,1.0,115,1.0,214,0.9629629629629629
198,0.9545454545454546,108,1.0,222,1.0
167,1.0,112,1.0,202,0.9565217391304348
195,1.0,113,1.0,221,1.0
156,1.0,112,1.0,225,1.0
165,0.9545454545454546,115,1.0,230,0.967741935483871
160,1.0,135,1.0,235,0.967741935483871
142,1.0,110,1.0,223,1.0
167,1.0,112,1.0,228,0.967741935483871
189,1.0,112,1.0,237,1.0
197,1.0,110,1.0,223,0.9642857142857143
196,1.0,116,1.0,224,1.0
201,1.0,114,1.0,236,1.0
169,1.0,113,1.0,230,1.0
152,1.0,106,1.0,230,1.0
195,1.0,112,1.0,214,1.0
159,1.0,120,1.0,230,1.0
204,1.0,108,1.0,208,1.0
162,1.0,108,1.0,233,1.0
174,0.9545454545454546,108,1.0,221,1.0
195,1.0,119,1.0,215,1.0
189,1.0,114,1.0,244,1.0
198,0.9565217391304348,108,1.0,217,0.9615384615384616
203,1.0,112,1.0,231,0.9666666666666667
191,1.0,110,1.0,203,1.0
186,1.0,108,1.0,247,0.9666666666666667
197,0.9545454545454546,115,1.0,239,0.9629629629629629
174,1.0,107,1.0,218,1.0
189,1.0,114,1.0,238,1.0
194,0.9545454545454546,110,1.0,236,1.0
185,1.0,118,1.0,224,1.0
182,0.9545454545454546,104,1.0,227,0.9655172413793104
195,1.0,112,1.0,244,0.9655172413793104
190,1.0,119,1.0,234,1.0
171,1.0,103,1.0,230,1.0
182,1.0,106,1.0,220,1.0
186,1.0,111,1.0,232,0.9655172413793104
192,0.9545454545454546,115,0.9523809523809523,215,1.0
156,1.0,116,1.0,228,1.0
195,1.0,116,1.0,268,0.96875
185,1.0,112,1.0,233,1.0
202,0.9545454545454546,113,1.0,234,1.0
191,1.0,104,1.0,220,0.9666666666666667
190,1.0,111,1.0,216,1.0
183,1.0,108,1.0,235,1.0
157,1.0,111,1.0,223,1.0
185,0.9545454545454546,113,1.0,210,1.0
200,1.0,114,1.0,226,0.9629629629629629
181,1.0,127,1.0,236,1.0
196,0.9545454545454546,116,1.0,231,0.9642857142857143
199,1.0,115,1.0,200,1.0
182,0.9545454545454546,110,1.0,235,1.0
192,0.9545454545454546,108,1.0,226,1.0
172,0.9545454545454546,114,1.0,227,1.0
166,1.0,112,1.0,218,1.0
175,1.0,116,1.0,230,0.9666666666666667
180,1.0,117,0.9523809523809523,211,1.0
194,0.9565217391304348,117,1.0,237,1.0
179,1.0,124,1.0,227,1.0
194,1.0,120,1.0,226,0.96875
201,0.9545454545454546,111,1.0,213,1.0
194,1.0,113,1.0,237,1.0
175,0.9545454545454546,112,1.0,228,1.0
191,1.0,111,1.0,228,0.9655172413793104
185,1.0,126,1.0,229,1.0
191,1.0,109,1.0,216,1.0
194,1.0,116,1.0,218,1.0
162,0.9545454545454546,115,1.0,206,1.0
191,1.0,123,1.0,233,1.0
189,0.9565217391304348,121,1.0,236,1.0
182,1.0,109,1.0,213,1.0
188,1.0,111,1.0,239,0.9642857142857143
162,0.9545454545454546,105,1.0,227,0.9615384615384616
165,1.0,106,1.0,226,0.9629629629629629
