0.255813953488, 86.0; 0.89898989899, 99.0; 0.171717171717, 99.0; 
0.19, 100.0; 0.850877192982, 114.0; 0.0918367346939, 98.0; 
0.136363636364, 88.0; 0.863636363636, 110.0; 0.10989010989, 91.0; 
0.223214285714, 112.0; 0.871559633028, 109.0; 0.0919540229885, 87.0; 
0.231481481481, 108.0; 0.884615384615, 104.0; 0.163461538462, 104.0; 
0.135802469136, 81.0; 0.877358490566, 106.0; 0.0864197530864, 81.0; 
0.223404255319, 94.0; 0.892156862745, 102.0; 0.08, 75.0; 
0.204081632653, 98.0; 0.892156862745, 102.0; 0.144329896907, 97.0; 
0.189473684211, 95.0; 0.850877192982, 114.0; 0.127659574468, 94.0; 
0.166666666667, 90.0; 0.880733944954, 109.0; 0.0957446808511, 94.0; 
0.188235294118, 85.0; 0.845454545455, 110.0; 0.1, 80.0; 
0.292682926829, 82.0; 0.881188118812, 101.0; 0.0945945945946, 74.0; 
0.129411764706, 85.0; 0.89, 100.0; 0.144444444444, 90.0; 
0.175, 80.0; 0.872549019608, 102.0; 0.0989010989011, 91.0; 
0.149253731343, 67.0; 0.868686868687, 99.0; 0.0666666666667, 75.0; 
0.228571428571, 70.0; 0.878787878788, 99.0; 0.0833333333333, 72.0; 
0.146341463415, 82.0; 0.868686868687, 99.0; 0.117647058824, 85.0; 
0.183098591549, 71.0; 0.876288659794, 97.0; 0.0769230769231, 78.0; 
0.177215189873, 79.0; 0.858585858586, 99.0; 0.0555555555556, 72.0; 
0.102564102564, 78.0; 0.896907216495, 97.0; 0.0705882352941, 85.0; 
0.25, 88.0; 0.88, 100.0; 0.154639175258, 97.0; 
0.166666666667, 72.0; 0.896907216495, 97.0; 0.0731707317073, 82.0; 
0.178082191781, 73.0; 0.865979381443, 97.0; 0.0625, 80.0; 
0.170731707317, 82.0; 0.875, 96.0; 0.0757575757576, 66.0; 
0.126582278481, 79.0; 0.9, 100.0; 0.142857142857, 70.0; 
0.146341463415, 82.0; 0.857142857143, 98.0; 0.121951219512, 82.0; 
0.123456790123, 81.0; 0.872549019608, 102.0; 0.0786516853933, 89.0; 
0.2875, 80.0; 0.87, 100.0; 0.0952380952381, 84.0; 
0.179775280899, 89.0; 0.838383838384, 99.0; 0.0864197530864, 81.0; 
0.089552238806, 67.0; 0.88, 100.0; 0.0649350649351, 77.0; 
0.154639175258, 97.0; 0.887755102041, 98.0; 0.0980392156863, 102.0; 
0.19387755102, 98.0; 0.887755102041, 98.0; 0.0769230769231, 78.0; 
0.188888888889, 90.0; 0.865979381443, 97.0; 0.075, 80.0; 
0.144927536232, 69.0; 0.86, 100.0; 0.0983606557377, 61.0; 
0.214285714286, 84.0; 0.888888888889, 99.0; 0.114942528736, 87.0; 
0.12, 75.0; 0.89, 100.0; 0.0581395348837, 86.0; 
0.118421052632, 76.0; 0.87, 100.0; 0.0684931506849, 73.0; 
0.205479452055, 73.0; 0.857142857143, 98.0; 0.0860215053763, 93.0; 
0.25, 72.0; 0.848484848485, 99.0; 0.115942028986, 69.0; 
0.195402298851, 87.0; 0.86, 100.0; 0.117647058824, 68.0; 
0.2375, 80.0; 0.885416666667, 96.0; 0.08, 75.0; 
0.107142857143, 84.0; 0.846153846154, 104.0; 0.141304347826, 92.0; 
0.161616161616, 99.0; 0.89, 100.0; 0.105263157895, 95.0; 
0.159090909091, 88.0; 0.87, 100.0; 0.0357142857143, 84.0; 
0.188235294118, 85.0; 0.90625, 96.0; 0.0941176470588, 85.0; 
0.255813953488, 86.0; 0.835051546392, 97.0; 0.0694444444444, 72.0; 
0.178571428571, 84.0; 0.867346938776, 98.0; 0.0789473684211, 76.0; 
0.0810810810811, 74.0; 0.87, 100.0; 0.177215189873, 79.0; 
0.197530864198, 81.0; 0.88, 100.0; 0.102564102564, 78.0; 
0.202247191011, 89.0; 0.90625, 96.0; 0.0789473684211, 76.0; 
0.139240506329, 79.0; 0.88, 100.0; 0.0602409638554, 83.0; 
0.171052631579, 76.0; 0.87, 100.0; 0.101265822785, 79.0; 
0.0963855421687, 83.0; 0.84, 100.0; 0.0853658536585, 82.0; 
0.176470588235, 85.0; 0.878787878788, 99.0; 0.115384615385, 78.0; 
0.191780821918, 73.0; 0.857142857143, 98.0; 0.103896103896, 77.0; 
0.129411764706, 85.0; 0.89, 100.0; 0.0348837209302, 86.0; 
0.144736842105, 76.0; 0.911111111111, 90.0; 0.0588235294118, 68.0; 
0.264705882353, 68.0; 0.89010989011, 91.0; 0.0909090909091, 66.0; 
0.0821917808219, 73.0; 0.84, 100.0; 0.0722891566265, 83.0; 
0.197183098592, 71.0; 0.855670103093, 97.0; 0.0625, 80.0; 
0.214285714286, 84.0; 0.866666666667, 90.0; 0.0864197530864, 81.0; 
0.298701298701, 77.0; 0.873563218391, 87.0; 0.0422535211268, 71.0; 
0.105882352941, 85.0; 0.838383838384, 99.0; 0.0769230769231, 78.0; 
0.164835164835, 91.0; 0.857142857143, 98.0; 0.104651162791, 86.0; 
0.155844155844, 77.0; 0.851063829787, 94.0; 0.0615384615385, 65.0; 
0.0857142857143, 70.0; 0.90625, 96.0; 0.0921052631579, 76.0; 
0.128571428571, 70.0; 0.881720430108, 93.0; 0.0975609756098, 82.0; 
0.207317073171, 82.0; 0.875, 96.0; 0.0681818181818, 88.0; 
0.194805194805, 77.0; 0.868686868687, 99.0; 0.0597014925373, 67.0; 
0.0897435897436, 78.0; 0.913978494624, 93.0; 0.0602409638554, 83.0; 
